word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
buildings;4187;5.62;1.3981;NA;1938;1418;4483
buzz;4188;5.62;1.6523;2636;NA;NA;3532
can;4189;5.62;1.2760;48;51;72;33
catching;4190;5.62;1.2271;2101;NA;NA;4089
characteristics;4191;5.62;1.4553;NA;1297;NA;NA
charlie;4192;5.62;1.2760;2676;NA;3956;3294
clock;4193;5.62;0.9875;1546;2167;NA;1307
cloud;4194;5.62;1.8504;2978;4103;NA;1477
comments;4195;5.62;1.0476;1701;3209;2675;NA
corazon;4196;5.62;1.5104;NA;NA;NA;2171
cycle;4197;5.62;1.4412;4834;2150;NA;NA
describing;4198;5.62;1.3231;NA;4027;4850;NA
dice;4199;5.62;1.2919;NA;NA;NA;1702
display;4200;5.62;0.9234;3573;2515;2614;NA
dudes;4201;5.62;1.4553;2530;NA;NA;3390
dutch;4202;5.62;1.1761;4745;2797;4335;4934
espn;4203;5.62;1.8832;3733;NA;NA;NA
eve;4204;5.62;1.6769;1110;NA;3837;2228
ford;4205;5.62;1.2436;3320;4563;1716;NA
formal;4206;5.62;1.5372;NA;1707;3060;NA
fry;4207;5.62;1.8282;NA;NA;NA;4727
heading;4208;5.62;1.0669;667;NA;4645;2471
heather;4209;5.62;0.9010;NA;NA;4841;NA
homies;4210;5.62;1.9048;NA;NA;NA;1769
instances;4211;5.62;0.9010;NA;2209;NA;NA
jews;4212;5.62;1.5372;NA;1649;2506;NA
leaves;4213;5.62;1.7944;2123;1462;1490;940
leg;4214;5.62;1.0079;2298;3494;4052;2530
lolol;4215;5.62;2.1843;4422;NA;NA;NA
managing;4216;5.62;1.2599;NA;NA;1868;NA
material;4217;5.62;0.9234;2002;486;1744;3967
media;4218;5.62;1.8058;399;1722;228;3804
microsoft;4219;5.62;2.1082;1893;NA;2783;NA
next;4220;5.62;1.0669;168;324;169;370
oct;4221;5.62;1.4412;4922;4829;511;NA
organisms;4222;5.62;1.2760;NA;4166;NA;NA
page;4223;5.62;0.9666;699;854;265;1647
pages;4224;5.62;0.9875;2103;1778;1816;2704
pitch;4225;5.62;1.3536;4235;4907;3666;4622
poll;4226;5.62;1.3384;3839;NA;2936;NA
printer;4227;5.62;1.2599;4696;NA;NA;NA
proportion;4228;5.62;0.9666;NA;1608;NA;NA
proportions;4229;5.62;1.0280;NA;4863;NA;NA
referred;4230;5.62;0.9875;NA;1485;446;NA
reflects;4231;5.62;1.8504;NA;4457;3582;NA
reply;4232;5.62;1.3231;1174;2584;NA;3789
resulted;4233;5.62;1.3076;NA;2999;3351;NA
rockville;4234;5.62;1.4693;NA;NA;3773;NA
runs;4235;5.62;1.2760;2308;3083;1204;1476
sacred;4236;5.62;1.8614;NA;2286;4865;2179
sells;4237;5.62;1.3231;NA;NA;3924;NA
sidewalk;4238;5.62;1.2271;NA;NA;NA;3915
snowed;4239;5.62;2.0293;4777;NA;NA;NA
status;4240;5.62;1.1761;1999;1012;1779;4267
they;4241;5.62;1.1761;62;31;34;44
through;4242;5.62;1.2103;342;99;101;94
tommy;4243;5.62;1.4270;NA;NA;NA;3826
transaction;4244;5.62;1.0079;NA;4646;4635;NA
tub;4245;5.62;1.6399;4891;NA;NA;NA
variable;4246;5.62;1.3384;NA;1818;NA;NA
vday;4247;5.62;1.7600;4897;NA;NA;NA
virtual;4248;5.62;1.2271;2504;NA;NA;NA
watches;4249;5.62;1.5104;4918;NA;NA;4241
we've;4250;5.62;1.3231;NA;NA;NA;NA
widely;4251;5.62;1.0476;NA;2055;2439;NA
ya'll;4252;5.62;1.4968;NA;NA;NA;NA
york;4253;5.62;1.1761;874;225;37;1002
ideological;4254;5.61;1.4694;NA;4744;NA;NA
midst;4255;5.61;1.3817;NA;3887;NA;NA
comparatively;4256;5.60;1.3004;NA;4307;NA;NA
address;4257;5.60;1.0498;2310;1327;1243;4656
airlines;4258;5.60;1.5908;NA;NA;1760;NA
ancient;4259;5.60;1.4142;NA;1007;3774;2181
apartment;4260;5.60;1.3248;2119;4419;1396;4120
apparent;4261;5.60;1.0690;NA;1716;3944;NA
arranged;4262;5.60;1.3401;NA;2575;4574;NA
assembly;4263;5.60;1.0880;NA;1607;1688;NA
bathroom;4264;5.60;1.3248;1423;NA;NA;3249
bees;4265;5.60;2.1381;NA;NA;NA;3801
bon;4266;5.60;1.2289;3586;NA;NA;4769
brasil;4267;5.60;1.7496;4992;NA;NA;NA
called;4268;5.60;1.1066;481;185;323;588
caroline;4269;5.60;1.7613;NA;NA;4368;NA
centers;4270;5.60;0.9035;NA;3386;2227;NA
central;4271;5.60;0.8806;1722;504;577;4577
chapter;4272;5.60;1.2122;2981;260;1981;4765
cleaning;4273;5.60;1.9588;1179;NA;NA;NA
columns;4274;5.60;1.1952;NA;3477;NA;NA
combined;4275;5.60;1.1066;NA;1822;2588;NA
concrete;4276;5.60;0.9897;NA;2304;4604;2622
considering;4277;5.60;1.1249;2241;2685;2339;NA
consulting;4278;5.60;1.1780;NA;NA;2569;NA
covers;4279;5.60;0.9897;3482;4512;4062;3051
crew;4280;5.60;0.9258;2212;4139;2610;917
edinburgh;4281;5.60;1.3851;NA;4706;NA;NA
efforts;4282;5.60;1.4569;4165;1161;838;NA
eleven;4283;5.60;1.0302;NA;3759;NA;3963
enormous;4284;5.60;1.5119;NA;3107;3294;NA
entirely;4285;5.60;1.1429;4983;1103;3167;NA
evan;4286;5.60;1.1780;NA;NA;4859;NA
francisco;4287;5.60;1.4428;2996;3192;1017;NA
frequency;4288;5.60;0.8806;NA;1456;NA;NA
function;4289;5.60;1.4569;4701;489;NA;NA
got;4290;5.60;1.4569;59;459;390;36
historians;4291;5.60;1.5779;NA;4596;NA;NA
hop;4292;5.60;1.6162;2243;NA;NA;1377
idol;4293;5.60;1.4708;949;NA;NA;NA
immediate;4294;5.60;1.6660;NA;1507;2202;NA
indianapolis;4295;5.60;1.5386;NA;NA;4759;NA
involving;4296;5.60;1.3401;NA;2733;2152;NA
layers;4297;5.60;1.3093;NA;3742;NA;NA
level;4298;5.60;0.9897;1504;335;991;2359
links;4299;5.60;1.1606;2056;3963;NA;NA
lisa;4300;5.60;1.3093;4055;NA;1785;3815
mouths;4301;5.60;1.2936;NA;NA;NA;4726
news;4302;5.60;1.5518;128;1133;123;1035
occasional;4303;5.60;1.4428;NA;3872;NA;NA
outcome;4304;5.60;1.1429;NA;2964;3513;NA
pat;4305;5.60;0.9897;3574;NA;2510;3585
patent;4306;5.60;1.6162;4367;4072;2910;NA
perceived;4307;5.60;1.3851;NA;2884;NA;NA
pick;4308;5.60;0.9689;728;3548;2007;704
pope;4309;5.60;1.5649;NA;2669;3435;NA
priest;4310;5.60;1.7023;NA;2856;4559;3871
pronounced;4311;5.60;1.3702;NA;4182;NA;NA
quotes;4312;5.60;1.3851;3406;NA;NA;NA
reaching;4313;5.60;1.1066;NA;3059;4208;1805
relatively;4314;5.60;1.0302;NA;1213;2635;NA
reminded;4315;5.60;1.2778;3888;NA;NA;NA
reynolds;4316;5.60;1.0880;NA;NA;3840;NA
runner;4317;5.60;1.6288;NA;NA;NA;NA
saying;4318;5.60;0.8571;639;1144;593;655
seeking;4319;5.60;1.1429;3848;2590;1232;3640
specific;4320;5.60;0.9689;4864;542;2458;NA
spell;4321;5.60;1.4142;2629;NA;NA;1394
stand;4322;5.60;1.1066;918;993;1413;241
suggested;4323;5.60;1.2454;NA;1113;1334;NA
title;4324;5.60;1.0880;2068;1268;918;NA
topics;4325;5.60;0.8330;4412;4260;4338;NA
trustees;4326;5.60;1.3702;NA;NA;1715;NA
twice;4327;5.60;1.1429;1785;2266;1877;943
utilities;4328;5.60;1.7023;NA;NA;4961;NA
veteran;4329;5.60;1.1429;NA;NA;2229;NA
viewed;4330;5.60;1.2122;NA;3140;4061;NA
virtually;4331;5.60;1.0498;NA;3353;2737;NA
walker;4332;5.60;1.5518;NA;NA;2720;NA
watchin;4333;5.60;1.2122;1251;NA;NA;3067
your;4334;5.60;1.0302;28;95;191;12
accustomed;4335;5.60;1.3778;NA;4718;NA;NA
deed;4336;5.60;1.5556;NA;4952;NA;4808
besos;4337;5.59;1.6320;NA;NA;NA;3743
classroom;4338;5.59;1.7668;NA;4326;NA;NA
comparative;4339;5.59;1.2234;NA;3149;NA;NA
constituted;4340;5.59;1.1350;NA;4187;NA;NA
indicating;4341;5.59;1.2734;NA;4311;NA;NA
occurs;4342;5.59;1.1165;NA;1332;NA;NA
parallel;4343;5.59;1.0785;NA;1810;NA;NA
sentences;4344;5.59;1.6320;NA;3569;NA;NA
vita;4345;5.59;1.3832;NA;NA;NA;3148
habits;4346;5.58;1.4852;NA;3088;NA;NA
#iphone;4347;5.58;2.2865;NA;NA;NA;NA
allison;4348;5.58;1.1445;NA;NA;4542;NA
appeals;4349;5.58;1.7272;NA;NA;2030;NA
apps;4350;5.58;1.3415;1774;NA;NA;NA
arizona;4351;5.58;1.4155;3902;NA;2875;NA
attached;4352;5.58;1.4581;NA;2059;4667;NA
bags;4353;5.58;1.0897;2607;NA;4844;2170
barack;4354;5.58;2.0313;2855;NA;NA;NA
bears;4355;5.58;1.8193;3235;4087;4426;NA
bell;4356;5.58;1.2792;2369;3033;2073;1680
brand;4357;5.58;1.1796;1238;NA;3162;972
broad;4358;5.58;1.1082;NA;1623;2173;3269
broader;4359;5.58;1.2631;NA;NA;4533;NA
bulletin;4360;5.58;0.8827;NA;4722;NA;NA
cara;4361;5.58;1.2469;3966;NA;NA;3504
casey;4362;5.58;1.2469;NA;NA;4529;NA
cerebral;4363;5.58;1.6299;NA;4777;NA;NA
chew;4364;5.58;1.3864;NA;NA;NA;2800
circle;4365;5.58;1.2137;2332;2037;3002;1636
cities;4366;5.58;1.4995;4540;1370;1705;3760
client;4367;5.58;1.1796;1910;2598;2966;NA
comes;4368;5.58;0.7584;554;867;874;260
comment;4369;5.58;1.2792;1211;3383;992;NA
consists;4370;5.58;1.3566;NA;1820;NA;NA
corrected;4371;5.58;1.6671;NA;NA;4280;NA
current;4372;5.58;1.3262;1576;568;697;NA
danny;4373;5.58;1.0120;3372;NA;4056;NA
decisions;4374;5.58;1.4155;3481;1650;2140;4008
delaware;4375;5.58;1.0515;NA;NA;4389;NA
described;4376;5.58;1.1445;NA;565;1036;NA
did;4377;5.58;1.1265;121;114;122;164
estimated;4378;5.58;1.0319;NA;2208;1501;NA
even;4379;5.58;1.1968;160;94;133;172
example;4380;5.58;1.0708;3114;210;930;NA
executive;4381;5.58;1.6671;4538;1955;206;NA
feet;4382;5.58;1.2631;1235;563;1064;443
filling;4383;5.58;1.3566;4386;4837;NA;3791
finally;4384;5.58;1.4299;326;616;1153;687
financed;4385;5.58;1.7034;NA;NA;4702;NA
fingers;4386;5.58;1.1445;1699;3081;NA;1067
formed;4387;5.58;1.1622;NA;831;2820;NA
front;4388;5.58;1.0708;712;716;943;586
gran;4389;5.58;1.4721;NA;NA;NA;4255
hier;4390;5.58;1.1082;4384;NA;NA;1494
hips;4391;5.58;1.7034;NA;NA;NA;2285
i've;4392;5.58;1.1796;NA;NA;NA;NA
ibm;4393;5.58;1.2950;NA;NA;2993;NA
identify;4394;5.58;1.3566;NA;2332;3388;NA
intro;4395;5.58;0.9495;4769;NA;NA;1875
kennedy;4396;5.58;1.4299;4510;NA;1461;NA
laura;4397;5.58;1.6671;4810;NA;1858;NA
lay;4398;5.58;1.2792;2020;1010;3438;438
lets;4399;5.58;1.0120;760;NA;NA;830
lewis;4400;5.58;1.1796;3863;3354;1447;NA
linda;4401;5.58;1.5398;NA;NA;1674;4095
long-term;4402;5.58;1.7853;NA;NA;NA;NA
looked;4403;5.58;1.3566;998;562;1575;701
lords;4404;5.58;2.1389;NA;3958;NA;NA
man's;4405;5.58;1.5131;NA;1665;NA;NA
marie;4406;5.58;1.0319;NA;NA;2864;4499
massachusetts;4407;5.58;1.3262;NA;3201;1757;NA
microphone;4408;5.58;1.2137;NA;NA;NA;2283
mills;4409;5.58;0.9708;NA;4434;4178;NA
ministry;4410;5.58;1.8526;NA;2119;2623;NA
mumbai;4411;5.58;1.7272;4666;NA;NA;NA
named;4412;5.58;0.8593;1649;1468;499;1868
navy;4413;5.58;1.5131;4594;3185;1947;NA
operative;4414;5.58;1.7034;NA;4798;NA;NA
overnight;4415;5.58;1.2137;4466;NA;NA;NA
peep;4416;5.58;1.1796;NA;NA;NA;2303
pot;4417;5.58;1.5265;2585;NA;NA;2571
pursuit;4418;5.58;1.7853;NA;4261;NA;NA
rapidly;4419;5.58;1.2631;NA;1708;4816;NA
recorded;4420;5.58;1.1968;3886;2035;1951;NA
returning;4421;5.58;1.4721;NA;3258;3225;4674
rooms;4422;5.58;0.9055;4596;2670;2453;3564
seats;4423;5.58;1.3415;3358;4692;2450;4148
set;4424;5.58;1.1968;480;215;317;394
shortly;4425;5.58;1.3107;NA;3224;3135;NA
shoutout;4426;5.58;1.9493;3791;NA;NA;NA
soho;4427;5.58;1.2631;NA;NA;4073;NA
solely;4428;5.58;1.3415;NA;4462;NA;NA
stuff;4429;5.58;1.4995;318;4436;1903;1027
suburban;4430;5.58;1.5265;NA;NA;4014;NA
talkin;4431;5.58;1.9388;1605;NA;NA;1089
teenage;4432;5.58;1.8305;NA;NA;NA;3227
thighs;4433;5.58;1.7623;NA;NA;NA;2982
thing;4434;5.58;1.0120;188;418;563;163
times;4435;5.58;1.1968;348;274;113;277
traders;4436;5.58;1.3107;NA;NA;4415;NA
trending;4437;5.58;1.4441;2525;NA;NA;NA
tries;4438;5.58;1.2631;4040;NA;4399;2783
valve;4439;5.58;1.1622;NA;3983;NA;NA
vermont;4440;5.58;1.2950;NA;NA;4124;NA
voters;4441;5.58;1.3107;NA;NA;1311;NA
waist;4442;5.58;1.3716;NA;NA;NA;2935
warming;4443;5.58;1.8962;3255;NA;NA;NA
we'll;4444;5.58;1.3262;NA;NA;NA;NA
yang;4445;5.58;1.3716;2662;NA;NA;2378
declare;4446;5.57;1.3472;NA;4843;NA;NA
departments;4447;5.57;1.3994;NA;3464;NA;NA
mathematical;4448;5.57;1.8484;NA;3725;NA;NA
sow;4449;5.57;1.6202;NA;NA;NA;4828
density;4450;5.57;1.2047;NA;2172;NA;NA
colony;4451;5.56;1.6099;NA;3030;NA;NA
component;4452;5.56;1.1091;NA;2142;NA;NA
illusion;4453;5.56;1.5004;NA;NA;NA;2315
sip;4454;5.56;1.2867;NA;NA;NA;2356
stride;4455;5.56;1.3669;NA;NA;NA;4842
summary;4456;5.56;1.2188;NA;2279;NA;NA
#musicmonday;4457;5.56;1.7280;NA;NA;NA;NA
acted;4458;5.56;1.0529;NA;3408;4259;NA
aide;4459;5.56;1.4165;NA;NA;3142;NA
alot;4460;5.56;1.4020;1283;NA;NA;2521
analyst;4461;5.56;1.0529;NA;NA;1493;NA
announces;4462;5.56;0.9723;3687;NA;NA;NA
aspects;4463;5.56;1.4020;NA;1349;4655;NA
associates;4464;5.56;1.6308;NA;4760;1782;NA
attempt;4465;5.56;1.2961;2623;903;1786;NA
basically;4466;5.56;1.0134;2807;NA;4674;NA
blowin;4467;5.56;1.3118;NA;NA;NA;3072
bong;4468;5.56;2.0619;NA;NA;NA;4233
brush;4469;5.56;1.7043;4638;NA;NA;3546
camps;4470;5.56;1.6801;NA;NA;4665;NA
cap;4471;5.56;0.9293;3802;3865;4492;2750
change;4472;5.56;1.3426;414;271;361;224
characterized;4473;5.56;1.1808;NA;2858;NA;NA
christopher;4474;5.56;0.8843;NA;NA;1224;NA
civil;4475;5.56;1.1457;4472;893;950;NA
clients;4476;5.56;1.1980;2881;3620;2172;NA
columnist;4477;5.56;1.0134;NA;NA;1561;NA
connecticut;4478;5.56;1.7162;NA;NA;904;NA
consider;4479;5.56;1.2149;2211;780;1400;3846
consumers;4480;5.56;1.5670;NA;4604;2133;NA
contents;4481;5.56;0.9510;NA;2323;NA;NA
dial;4482;5.56;1.3273;NA;NA;NA;3260
directly;4483;5.56;1.0333;4539;892;2160;NA
discussed;4484;5.56;1.4591;NA;1106;3184;NA
electron;4485;5.56;1.1457;NA;2990;NA;NA
elle;4486;5.56;1.0333;NA;NA;NA;3630
era;4487;5.56;1.0333;2751;2564;2381;2148
evaluate;4488;5.56;1.2803;NA;4913;NA;NA
explanation;4489;5.56;0.9930;NA;1788;4879;NA
extends;4490;5.56;1.0134;NA;4937;3348;NA
fairfield;4491;5.56;0.9723;NA;NA;3717;NA
format;4492;5.56;1.3273;NA;4739;NA;NA
forming;4493;5.56;0.9930;NA;2885;NA;NA
golf;4494;5.56;2.0320;1830;NA;926;NA
hampshire;4495;5.56;0.9510;NA;NA;3833;NA
his;4496;5.56;0.9930;100;20;19;103
inbox;4497;5.56;1.4591;4964;NA;NA;NA
indication;4498;5.56;1.0721;NA;4227;4906;NA
ink;4499;5.56;1.2803;2599;NA;NA;4597
innings;4500;5.56;1.4591;NA;NA;4239;NA
jay-z;4501;5.56;1.5140;NA;NA;NA;NA
jumped;4502;5.56;1.3426;4293;NA;4258;2269
kelly;4503;5.56;1.1634;2703;NA;1914;2570
lauren;4504;5.56;1.3273;NA;NA;3241;NA
leather;4505;5.56;1.4868;3525;NA;NA;2147
license;4506;5.56;1.3426;4112;NA;3310;NA
makes;4507;5.56;1.2480;280;613;663;317
manchester;4508;5.56;1.3273;2933;NA;NA;NA
marathon;4509;5.56;1.2316;2412;NA;3370;NA
matches;4510;5.56;1.2149;NA;NA;NA;NA
measured;4511;5.56;1.3273;NA;1832;NA;NA
method;4512;5.56;0.9071;2666;471;3157;3236
mounted;4513;5.56;1.3273;NA;4042;NA;NA
nickel;4514;5.56;1.5407;NA;NA;NA;4382
on;4515;5.56;1.0721;13;16;10;14
opera;4516;5.56;1.7631;4082;4381;1052;NA
organizations;4517;5.56;1.1278;NA;1548;1637;NA
pan;4518;5.56;0.8369;4760;4314;3718;3407
passage;4519;5.56;1.1457;NA;1383;3529;NA
password;4520;5.56;1.1457;4766;NA;NA;NA
place;4521;5.56;1.1980;374;149;247;190
playa;4522;5.56;1.7861;NA;NA;NA;1572
presidency;4523;5.56;1.7861;NA;NA;4051;NA
product;4524;5.56;1.1095;1568;920;1613;4239
promo;4525;5.56;1.4165;2276;NA;NA;NA
quarter;4526;5.56;1.2149;3464;2356;196;2160
range;4527;5.56;1.0134;3699;688;1503;2438
ranked;4528;5.56;1.7043;NA;NA;4256;NA
recent;4529;5.56;1.1095;2339;876;374;NA
red;4530;5.56;1.6183;282;631;861;431
regarding;4531;5.56;1.1278;4737;1842;4410;NA
remained;4532;5.56;1.0333;NA;1005;1784;NA
rolls;4533;5.56;1.3118;3396;NA;NA;2439
solo;4534;5.56;1.3726;2127;NA;3420;643
stay;4535;5.56;1.1634;412;1506;1112;173
steppin;4536;5.56;1.3426;NA;NA;NA;4986
stepping;4537;5.56;0.9930;NA;NA;NA;3352
studying;4538;5.56;2.0016;1945;3936;3754;NA
substance;4539;5.56;1.1095;NA;1836;4473;NA
systematic;4540;5.56;1.5140;NA;3699;NA;NA
titles;4541;5.56;1.2643;NA;4647;3222;NA
tons;4542;5.56;1.2961;2514;3482;3716;NA
treated;4543;5.56;1.6433;NA;1314;2364;2918
turkish;4544;5.56;1.2149;NA;4970;NA;NA
type;4545;5.56;0.9293;1000;371;2274;1056
varied;4546;5.56;1.2961;NA;3139;NA;NA
verbal;4547;5.56;1.0529;NA;3738;NA;NA
vida;4548;5.56;1.2803;2873;NA;NA;928
vodka;4549;5.56;2.2602;3606;NA;NA;NA
voices;4550;5.56;1.5005;NA;3736;3749;1214
voltage;4551;5.56;1.2803;NA;2942;NA;NA
winding;4552;5.56;1.3273;NA;NA;NA;4481
wisconsin;4553;5.56;1.4165;NA;4674;3411;NA
woke;4554;5.56;1.4165;697;NA;NA;1316
word;4555;5.56;1.1457;529;390;1156;416
worker;4556;5.56;1.6308;4948;2980;2538;NA
working;4557;5.56;1.7631;305;509;567;1007
yonkers;4558;5.56;1.2643;NA;NA;2888;NA
input;4559;5.55;1.3320;NA;2171;NA;NA
analyses;4560;5.55;1.2427;NA;4120;NA;NA
array;4561;5.55;1.1558;NA;4460;NA;NA
calculations;4562;5.55;1.5951;NA;4725;NA;NA
dixie;4563;5.55;1.2920;NA;NA;NA;4901
floss;4564;5.55;1.5419;NA;NA;NA;3890
molecular;4565;5.55;1.3854;NA;3242;NA;NA
pavement;4566;5.55;1.1737;NA;NA;NA;4906
tame;4567;5.55;1.4151;NA;NA;NA;3385
warriors;4568;5.55;1.9585;NA;NA;NA;4404
gospel;4569;5.55;2.1202;NA;2866;NA;NA
theological;4570;5.55;1.6305;NA;4137;NA;NA
depth;4571;5.54;1.4136;NA;2106;NA;NA
acquisitions;4572;5.54;1.7168;NA;NA;4664;NA
adam;4573;5.54;1.2651;1677;3985;1825;NA
apparently;4574;5.54;1.1104;973;1489;1657;NA
attempts;4575;5.54;1.1988;NA;1963;3605;NA
attended;4576;5.54;1.1104;NA;2711;1707;NA
awwww;4577;5.54;1.8094;3095;NA;NA;NA
biological;4578;5.54;1.4458;NA;2859;NA;NA
bobby;4579;5.54;1.2488;4206;NA;3394;3085
box;4580;5.54;0.8855;860;1359;1143;1241
bradley;4581;5.54;0.9941;NA;NA;3396;NA
brooklyn;4582;5.54;1.4737;3517;NA;296;2855
brunswick;4583;5.54;1.3280;NA;NA;3984;NA
bud;4584;5.54;1.1104;4791;NA;NA;3413
buena;4585;5.54;1.4316;4871;NA;NA;NA
cardinal;4586;5.54;1.6062;NA;4973;4397;NA
catherine;4587;5.54;1.4737;NA;NA;2368;NA
chapel;4588;5.54;1.5414;NA;4177;997;NA
chest;4589;5.54;0.9733;3149;3082;NA;1167
circulation;4590;5.54;1.2157;NA;3093;NA;NA
criteria;4591;5.54;1.1988;NA;2736;NA;NA
cuban;4592;5.54;1.5147;NA;NA;4483;NA
dame;4593;5.54;1.3734;NA;NA;4782;1973
daniel;4594;5.54;1.0730;3821;3636;831;NA
dealing;4595;5.54;1.1643;3843;2361;2958;3919
device;4596;5.54;0.9521;3984;2533;4352;NA
direction;4597;5.54;0.8134;3796;778;2144;1815
doctors;4598;5.54;1.6563;3286;4010;1558;NA
domain;4599;5.54;1.1104;3163;2955;NA;NA
dubai;4600;5.54;1.2811;3813;NA;NA;NA
ear;4601;5.54;1.2324;2563;2682;NA;1246
electrical;4602;5.54;1.1104;NA;3065;4489;NA
emily;4603;5.54;1.1287;NA;NA;2420;NA
every1;4604;5.54;1.4598;NA;NA;NA;NA
firmly;4605;5.54;1.2324;NA;3826;NA;NA
frame;4606;5.54;1.5414;4663;2231;4902;2187
gee;4607;5.54;1.2488;NA;NA;NA;4059
go;4608;5.54;1.1817;51;192;207;45
gusta;4609;5.54;1.7049;NA;NA;NA;3050
hablar;4610;5.54;1.0919;NA;NA;NA;4505
handle;4611;5.54;1.0539;1979;3243;2311;1271
him;4612;5.54;1.2157;146;56;103;137
holdings;4613;5.54;1.4028;NA;NA;3343;NA
journalist;4614;5.54;1.3584;NA;NA;3459;NA
lap;4615;5.54;1.2811;4180;NA;NA;3386
look;4616;5.54;1.1287;174;380;426;123
machinery;4617;5.54;1.3433;NA;3159;NA;NA
materials;4618;5.54;1.0730;NA;944;2800;NA
mount;4619;5.54;1.2651;NA;3468;1379;NA
mysterious;4620;5.54;1.6686;NA;NA;NA;4547
nicholas;4621;5.54;0.9082;NA;NA;2060;NA
notes;4622;5.54;1.1466;2371;1069;884;3415
ny;4623;5.54;1.6686;1052;3508;102;NA
obviously;4624;5.54;1.2651;2408;2132;3240;NA
pamela;4625;5.54;0.8621;NA;NA;3670;NA
panel;4626;5.54;1.2811;3672;4395;1675;NA
particular;4627;5.54;1.1287;NA;382;1937;NA
person;4628;5.54;1.1466;268;346;749;1727
posted;4629;5.54;1.1287;796;NA;3947;NA
ppl;4630;5.54;1.3280;449;NA;NA;NA
prompted;4631;5.54;1.0343;NA;NA;4276;NA
properties;4632;5.54;1.2969;NA;1282;2596;NA
quarterback;4633;5.54;1.8206;NA;NA;3245;NA
rating;4634;5.54;1.0919;NA;NA;2056;NA
rearrange;4635;5.54;1.2488;NA;NA;NA;4593
reason;4636;5.54;1.4737;636;411;951;435
regions;4637;5.54;1.1104;NA;1754;NA;NA
reminder;4638;5.54;1.3433;4203;NA;NA;NA
rims;4639;5.54;1.3126;NA;NA;NA;3447
ross;4640;5.54;1.1466;4314;NA;2069;NA
round;4641;5.54;0.9521;1063;856;1182;403
say;4642;5.54;0.9941;137;195;156;59
signs;4643;5.54;0.8621;2548;1784;2123;1538
simpson;4644;5.54;1.3126;NA;NA;3713;NA
sources;4645;5.54;1.2324;NA;1128;2636;NA
sponsored;4646;5.54;1.9082;NA;NA;2237;NA
stephen;4647;5.54;1.1817;3092;4044;886;NA
suggesting;4648;5.54;1.1988;NA;4904;4699;NA
suzanne;4649;5.54;1.3433;NA;NA;2873;NA
texas;4650;5.54;1.2324;1379;2601;1015;1800
thursdays;4651;5.54;1.3881;NA;NA;4138;NA
timeline;4652;5.54;1.1287;3711;NA;NA;NA
tools;4653;5.54;1.4172;2194;2383;4589;4602
trio;4654;5.54;1.2651;NA;NA;4498;NA
yale;4655;5.54;1.7168;NA;NA;1614;NA
abstract;4656;5.53;1.4424;NA;2802;NA;NA
accordance;4657;5.53;1.1565;NA;3275;NA;NA
fellas;4658;5.53;1.5014;NA;NA;NA;2601
lean;4659;5.53;1.4304;NA;NA;NA;1709
outward;4660;5.53;1.4448;NA;4967;NA;NA
particle;4661;5.53;0.9377;NA;3886;NA;NA
pipe;4662;5.53;1.3860;NA;3452;NA;3096
rely;4663;5.53;1.4592;NA;4741;NA;3734
sheet;4664;5.53;1.2265;NA;2951;NA;NA
sole;4665;5.53;1.2926;NA;3766;NA;3662
whatcha;4666;5.53;1.4875;NA;NA;NA;2014
arrow;4667;5.52;1.5016;NA;NA;NA;4430
blazing;4668;5.52;2.0627;NA;NA;NA;4166
wherever;4669;5.52;1.2375;NA;3947;NA;1298
aimed;4670;5.52;1.5810;NA;4523;3479;NA
alice;4671;5.52;1.1822;3566;NA;2131;NA
alicia;4672;5.52;0.9528;4102;NA;NA;NA
amendment;4673;5.52;1.4032;NA;3450;2482;NA
amy;4674;5.52;1.3130;3354;NA;1985;NA
appointment;4675;5.52;1.8432;4245;3338;3239;NA
archive;4676;5.52;1.4320;3605;NA;NA;NA
article;4677;5.52;1.4032;910;1004;82;NA
beth;4678;5.52;1.3438;NA;NA;1647;NA
beverly;4679;5.52;1.1110;NA;NA;3341;NA
beyonce;4680;5.52;1.8210;2321;NA;NA;NA
bottles;4681;5.52;1.0925;3553;NA;NA;2899
boxes;4682;5.52;1.2162;3458;NA;NA;NA
branch;4683;5.52;1.1471;NA;2007;2741;NA
carol;4684;5.52;1.3589;NA;NA;1619;NA
categories;4685;5.52;1.2329;NA;2514;NA;NA
class;4686;5.52;1.7756;413;377;996;1559
coaches;4687;5.52;1.6066;NA;NA;3710;NA
compounds;4688;5.52;1.3738;NA;3324;NA;NA
could;4689;5.52;1.2816;144;80;90;81
cube;4690;5.52;1.2974;NA;NA;NA;3690
demonstrate;4691;5.52;1.1822;NA;3544;4866;NA
edition;4692;5.52;1.1292;1916;1528;2718;NA
employers;4693;5.52;1.3738;NA;4388;4128;NA
episodes;4694;5.52;1.1292;2612;NA;NA;NA
eva;4695;5.52;1.0925;4054;NA;NA;NA
exceptions;4696;5.52;1.5550;NA;4558;NA;NA
extension;4697;5.52;1.1822;NA;2298;2991;NA
filled;4698;5.52;1.2656;2082;1406;2307;979
findings;4699;5.52;1.4741;NA;2429;3576;NA
graphic;4700;5.52;1.2493;4097;NA;NA;NA
headline;4701;5.52;1.3130;NA;NA;3338;NA
horizontal;4702;5.52;1.1648;NA;3235;NA;NA
